單字,中文,例句,中例,同義,反義
hurdle,n.障礙，困難；跳欄；障礙賽跑；[史]囚籠，囚車； vi.克服困難；越過障礙；參加跨欄賽跑； vt.跳過障礙；跳欄；用疏籬圍住；克服困難； ,Labour standards are the biggest hurdle for the Latin American deals.,勞工標準是對拉丁美洲國家貿易的最大障礙。,vault;overleap;,drop out;mind;
illuminate,vt.照亮，照明；闡明，說明；裝飾；使燦爛； vi.照亮； ,"Indistinct indistinct dream trance, you meet in the moonlight, bright eye, illuminate your heart the moment.","恍恍惚惚的夢裡, 你們在月光下相遇, 閃亮的眸子, 照亮了你此刻的心.",illumine;floodlight;illume;,darken;contract;mystify;
implement,vt.實施，執行；使生效，實現；落實（政策）；把…填滿； n.工具，器械；傢具；手段；[法]履行（契約等）； ,Plugins are allowed to register new actions dynamically to implement to implement their functionalities.,插件允許動態的註冊新的動作去實現他們自己的功能.,employ;utilise;apply;,inutility;unfasten;fall;
imprison,vt.關押，監禁；束縛，禁錮；使…不自由； ,Mantis Imprison – the mantis will channel-stun-lock the player that is Imprison Marked.,MantisImprison—多節蟲會引導眩暈效果到帶有禁錮標記的玩家身上。,detain;jail;remand;,free;rush;accelerate;
incline,vt.& vi.（使）傾斜，弄斜；（使）偏向，傾向於；（使）認為；點（頭）（以示同意、打招呼等）； n.斜坡；斜面；坡度；傾斜； ,The leave incline to dark.,樹葉綠得發黑。,suffer;be;gravitate;,rise;ascend;distrust;
infer,vt.推斷；猜想，推理；暗示；意指； vi.作出推論； ,I infer from your letter that you do not wish to see us.,我從你信中推想，你不想見我們。,reason out;conclude;deduce;,bore;add;lose;
inhabit,vt.居住；在…出現；填滿； vi.居住； ,Sweet memories inhabit this house.,甜蜜的回憶依然留在這所房子中.,overpopulate;domicile;domiciliate;,empty;inanimate;dead;
inject,vt.（給…）注射（藥物等）；（給…）注射（液體）；（給…）添加；（給…）投入（資金）； ,"Relatively speaking, however, will undoubtedly inject more than the restructuring can be an immediate impact.",但是相對而言，注資無疑比重組更能夠立竿見影。,immunize;dispense;immunise;,lose;get off;undock;
integrate,vt.使一體化；使整合；使完整；使結合成為整體； vi.成為一體；結合在一起；合併；[數學]作積分運算； adj.整體的；完整的；完全的；綜合的； ,To education in college integrate collective education and individual education and to integrate heteronomy and self - discipline .,"就是要做到把言傳和身教結合起來,把集體教育與個別教育結合起來,把他律和 自律 結合起來.",re-incorporate;reintegrate;build in;,disintegrate;unfold;uncross;
intervene,vi.阻礙；出面；插嘴；介於…之間； ,"As public right force puissant intervene, happened to be out of shape already.","隨著公權力的強力介入, 已然發生了變形.",interlope;interpose;interfere;,refrain;stop;go off;
intimidate,vt.恐嚇，威脅； ,I never intimidate ordinary folks. I only intimidate those venal officials.,"我從來不嚇唬老百姓, 只嚇唬那些貪官污吏.",bully;strong-arm;frighten;,bad;forceless;fearlessness;
intrude,vi.侵入，侵擾，打擾；闖入；打擾； vt.把觀點強加於他人；[地質]侵入其他地層；把…硬擠； ,He had no wish to intrude on their privacy.,他原本就不想觸犯他們私人活動的自由。,enter;barge in;go in;,exit;file out;detach;
inventory,n.存貨清單；財產目錄，財產目錄的編製；存貨總值；清查； vt.編製…的目錄；開列…的清單；盤存；總結； ,"Responsibility: 1 . Inventory stock and check the quality, reduce inventory stock and accelerate inventory turnover . 2.","工作職責: 1、檢查庫存質量 、 庫存檔點,採取措施降低存貨庫存,加速存貨周轉.",parts inventory;listing;stock list;,overstock;irregular;disrepute;
irritate,vt.刺激，使興奮；使發怒；使感到不適；使疼痛，使發炎； vi.引起惱怒；引起不愉快； ,"Even if an oil does not irritate you, It'still can irritate someone else.",因為即使你不會對該種精油會有過敏反應，可能別人會有。,get;harass;rile;,please;pull out;dissuade;
kidnap,vt.誘拐，綁架，劫持；拐騙； ,Kidnap Craftsman: Command your ship to kidnap a particular skilled worker on its next mission.,綁架技術人員：給你的一艘船下次出發的任務：去綁架一個有特別技術才能的人。,shanghai;nobble;impress;,enable;gladden;unclasp;
lament,vt.& vi.（為…）哀悼；悲嘆；悔恨；痛惜； n.哀歌，輓歌；悲慟，慟哭；悲痛之情；悼詞； ,A poem or song composed especially a lament for a deceased person.,專門為悼念某一死者所寫的詩或歌。,express feelings;sorrow;grieve;,laugh;happiness;joy;
legitimate,adj.合法的，合理的；正規的；合法婚姻所生的；真正的，真實的； vt.使合法；給予合法的地位；通過法律手段給（私生子）以合法地位；正式批准，授權； ,This is the day the Rockets need a legitimate point guard and a legitimate-and consistent-No.3 scorer.,這一天的到來需要一個打得合理的控位，還要一個打得即合理又強悍，不，打得合理就夠了的3分射手。,authorised;valid;morganatic;,unauthorized;invalid;illegal;
liberate,vt.解放；釋放；釋出，放出； ,Deng Xiaoping is abounded and deepened Mao Zedong to liberate the thought of productivity.,鄧小平豐富並深化了毛澤東解放生產力的思想。,turn;emancipate;change state;,inactivity;stand still;ebb;
lounge,n.休息廳；客廳；（機場等的）等候室； vi.閑逛；懶洋洋地躺； vt.懶洋洋地打發（時間）；虛度光陰； ,LUNA Lounge is a cocktail lounge behind LUCE with chill out music and lazy spirit.,"潞娜酒吧不僅提供慵懶的跳舞音樂和好喝的酒水,更重要的是,一天的辛勤工作后,在這裡你可以找到最狂縱的釋放和最輕鬆的心情.",sit down;sit;,lie;stand;stand still;
lure,n.吸引力，魅力；誘惑物；誘餌； vt.吸引，引誘；用引誘物召回（獵鷹）； ,"Love is lure, also however have a love to resist lure to your strength.","然而愛是誘劑, 也有愛抵抗誘劑到您的力量.",stimulate;snare;bait;,cause to sleep;put option;contraindicate;
manipulate,vt.操作，處理；巧妙地控制；操縱；[醫] 推拿，調整； ,"We never manipulate the exchange rate, has been operating under a managed floating exchange rate.",我們從來沒有操控匯率，一直實行的是有管理的浮動匯率。,work;pull wires;pull strings;,arrange;natural object;right;
mar,vt.毀壞，損壞；弄糟；糟蹋；玷污； n.污點；瑕疵；障礙；損傷，毀損； ,"MAR, GMP - 140 were higher and EPM was lower in treated group than those in healthy group.","與老年人健康組比較,LI組MAR和 GMP-140水平升高,而EPM水平降低.",corrupt;damage;vitiate;,ugliness;disappearance;nonattendance;
massacre,n.大屠殺，殘殺；（牲畜的）成批屠宰； vt.屠殺，殘殺；損害，毀壞；<口>徹底擊敗；<口>慘敗； ,"If we forget the massacre, the massacre will happen again!",忘記了大屠殺，大屠殺就有可能再次發生！,kill;mow down;slaughter;,victory;be born;switch on;
meditate,vi.沉思；打算； vt.深思；策劃； ,It was only to sit in his own rooms in a neighbouring hotel and meditate.,那不過是要坐在附近旅館他自己的房間里沉思默想罷了.,premeditate;chew over;theologize;,answer;certainty;dissociate;
mellow,adj.（瓜，果等）成熟的；（酒）芳醇的；（顏色或聲音）柔和的；圓潤的； v.（使）成熟；變柔和；使芳醇； ,"MELLOW and cost-effectively have absolute advantage, this advantage reflected in color, fluency, and price.",MELLOW的性價比具有萬萬劣勢，這栽劣勢反響在色彩、暢達性、代價上。,soften;,harden;immaturity;
merchandise,n.商品；貨物； vt.買賣；銷售； vi.經商； ,Merchandise is guaranteed and defective items may be returned for repair or replacement.,Merchandise保證及不良品可用於修理或更換退回.,feature;line;contraband;,lack;inactivity;natural object;
merge,vt.& vi.（使）混合；相融；融入；漸漸消失在某物中； ,"In both manual and automatic merging, each merge action affects the next merge action.","不論是手動合併還是自動合併, 每個合併操作都會影響下一個合併操作.",unite;federalise;syncretize;,disunify;purity;stand still;
migrate,vi.遷移，移往；移動；隨季節而移居； vt.使移居；使移植； ,Swallows migrate in the winter.,燕子在冬天移徙.,immigrate;transmigrate;move;,stay;immigrate;leave;
mimic,n.巧于模仿的人；複寫品或仿製品；摹擬笑劇的演員； vt.模仿，學樣；摹擬；[生]擬形，擬色； adj.模仿的，摹擬的；[生]擬態的；假裝的； ,Susan Tyler: They mimic us. We mimic them.,他們演變成我們，我們演變成他們。,imitative;,nonimitative;natural;
miniature,adj.小型的，微小的； n.微型複製品；微小模型；微型畫；微型人像畫； vt.使成小型；把…畫成纖細畫；縮寫； ,Intensive experience (Minimum 2 years) in miniature flange bearing production and miniature stainless steel bearing industry.,2年以上微型法蘭和微型不鏽鋼軸承生產經驗。,copy;toy;,dark;tall;high;
minimize,vt.把…減至最低數量[程度]；對（某事物）作最低估計，極力貶低（某事物）的價值[重要性]；極度輕視； ,Corrective action to minimize the leak or at least minimize exposure to people and equipment.,減少泄漏或者至少減少人員和設備的暴露的補救行動。,minify;minimise;lessen;,increase;maximise;maximize;
mobilize,vt.調動；動員；組織，動員起來； vi.動員起來； ,"Retired cadres of the spouses and childrensui qian, mobilize, mobilize cadres by the relevant regulations.",離休幹部的配偶和子女隨遷、調動，按在職幹部調動的有關規定辦理。,marshal;summon;pull together;,spread;forget;cause to sleep;
mold,n.模子；模式；類型；霉； vt.塑造；澆鑄；用模子做；用泥土覆蓋； vi.對…產生影響，形成；發霉； ,"The upper mold is aluminum mold, the lower mold is air chamber mold.",下模具為鋁模，上模具為氣囊模。,forge;work;form;,deregulate;disassemble;dissuade;
mute,adj.緘默的；啞的；無聲的；（字母）不發音的； n.啞巴；（樂器上的）弱音器； vt.減輕（聲音）；使…柔和； ,MUTE UNIt'sPEECH Mute all non-trigger unIt'sounds for current player.,將玩家一定數量的單位由一個特定區域移動到另一個特定區域。,unspoken;wordless;unarticulate;,articulate;animated;polished;
narrate,vt.講，談到，敘述；做旁白說明；講故事； vi.敘述，講述； ,He tried his best to narrate and act on the stories he read before.,他努力把讀過的那個故事連說帶比地講出來。,inform;,stay;associate;
nourish,vt.滋養，施肥于；撫養，教養；懷抱（希望、怨恨）；使健壯； ,We should nourish our spirits with high ideas.,我們應該用崇高的理想充實自己的心靈。,ply;cater;provide;,take;disjoin;kern;
nurture,vt.養育；培育；滋養；培植； n.教養，培育；營養物，食物；環境因素； ,"You're right, that's excessive. I favor nurture in the nature - nurture issue.","你 說 得對, 這的確太離譜了. 先天與後天相比,我更傾向於後者.",serve;foster;patronize;,discourage;biological;boycott;
oblige,vt.強制，強迫；使負債務；使感激；施惠于； vi.施恩惠；幫忙，效勞； ,Alfred: I'm sure Mr. Fox can oblige. Did you get mauled by a tiger?,福克斯先生肯定能搞定。你是被老虎咬了么？,get;enforce;implement;,exempt;refrain;go;
obscure,adj.昏暗的，朦朧的；晦澀的，不清楚的；隱蔽的；不著名的，無名的； vt.使…模糊不清，掩蓋；隱藏；使難理解； n.某種模糊的或不清楚的東西； ,The poem is obscure to those unlearned in the classics.,這首詩在不懂古典詩作的人看來是費解的.,vague;unclear;,clear;unveil;brighten;
